"Measurer_Initials","Bag_Code","Site_Code","Sex","Nose-To-Wing-Tip-(mm)","Nose-to-Abdomen-Tip-(mm)","%IP-0.5KM","%IP-1KM","%IP-3KM","%IP-5KM","Latitude","Longitude","Day","Month","Num_TOH","Altitude","length_ratio","coll_date"
"RM","A2","A1","F",26.47,17.68,49.317606,44.670864,56.165308,61.644901,40.681285,-74.232429,18,9,26,15.32,0.667925953910087,18888
"RM","A1","A1","M",21.46,17.37,57.972477,45.028424,55.842883,61.29076,40.681285,-74.232429,18,9,26,15.32,0.809412861136999,18888
"RM","A1","A1","F",27.29,19.81,57.972477,45.028424,55.842883,61.29076,40.681285,-74.232429,18,9,26,15.32,0.725906925613778,18888
"RM","A1","A1","M",21.79,16.32,57.972477,45.028424,55.842883,61.29076,40.681285,-74.232429,18,9,26,15.32,0.748967416245984,18888
"RM","A11","A10","M",20.73,13.95,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,30,9,2,7.442,0.672937771345876,18900
"RM","A13","A10","F",24.59,16.09,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,30,9,2,7.442,0.654331028873526,18900
"RM","A13","A10","F",26.6,17.64,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,30,9,2,7.442,0.663157894736842,18900
"RM","A13","A10","F",26.08,18.26,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,30,9,2,7.442,0.700153374233129,18900
"RM","A13","A10","M",22.6,18.28,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,30,9,2,7.442,0.808849557522124,18900
"RM","A10","A10","F",27.41,18.52,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.675665815395841,18901
"RM","A10","A10","M",22.24,14.98,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.673561151079137,18901
"RM","A10","A10","F",26.23,18.22,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.694624475791079,18901
"RM","A10","A10","F",26.98,16.97,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.628984432913269,18901
"RM","A10","A10","M",21.86,15.18,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.694419030192132,18901
"RM","A10","A10","F",26.9,17.31,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.643494423791822,18901
"RM","A10","A10","M",21.7,14.28,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.658064516129032,18901
"RM","A10","A10","F",26.29,16.5,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.627615062761506,18901
"RM","A10","A10","F",25.66,17.81,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.694076383476228,18901
"RM","A10","A10","M",21.25,15.69,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.738352941176471,18901
"RM","A10","A10","F",26.12,16.66,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.637825421133231,18901
"RM","A10","A10","M",21.08,15.37,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.729127134724858,18901
"RM","A10","A10","F",26.42,16.43,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.621877365632097,18901
"RM","A10","A10","F",24.42,17.45,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.714578214578214,18901
"RM","A10","A10","F",25.67,18.52,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.721464744838333,18901
"RM","A10","A10","F",27.72,20.01,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.721861471861472,18901
"RM","A10","A10","F",21.75,16.34,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.751264367816092,18901
"RM","A10","A10","F",25.81,17.95,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.695466873304921,18901
"RM","A10","A10","F",26.01,17.32,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.665897731641676,18901
"RM","A10","A10","F",24.58,17.57,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.714808787632221,18901
"RM","A10","A10","F",26.04,17.31,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.664746543778802,18901
"RM","A10","A10","M",22.24,15.47,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.695593525179856,18901
"RM","A10","A10","F",27.65,19.18,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.693670886075949,18901
"RM","A10","A10","F",24.58,17.14,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.697314890154597,18901
"RM","A10","A10","F",26.24,18.76,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.714939024390244,18901
"RM","A10","A10","M",22.02,16.01,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.727066303360581,18901
"RM","A10","A10","M",21.73,15.57,19.964409,20.698281,29.068639,30.829598,40.00475872,-74.16369576,1,10,2,7.442,0.716520938794294,18901
"RM","A17","A17","F",26.14,16.2,68.956571,54.142161,46.429837,41.765299,40.6923631,-74.2887112,3,10,38,27.95,0.619739862280031,18903
"RM","A17","A17","F",24.54,15.14,68.956571,54.142161,46.429837,41.765299,40.6923631,-74.2887112,3,10,38,27.95,0.616951915240424,18903
"RM","A17","A17","F",23.04,14.72,68.956571,54.142161,46.429837,41.765299,40.6923631,-74.2887112,3,10,38,27.95,0.638888888888889,18903
"RM","A18","A18","M",21.39,13.61,50.915332,47.239404,46.90515,42.526197,40.721176,-74.266869,3,10,40,66.86,0.63627863487611,18903
"RM","A19","A19","M",20.33,15.23,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.749139203148057,18913
"RM","A19","A19","F",26.72,21.18,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.792664670658683,18913
"RM","A19","A19","F",25.84,23.18,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.897058823529412,18913
"RM","A19","A19","F",26.03,20.2,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.776027660391855,18913
"RM","A19","A19","M",20.67,14.4,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.6966618287373,18913
"RM","A19","A19","F",24.03,16.99,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.707032875572201,18913
"RM","A19","A19","F",21.13,15.3,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.724088973024136,18913
"RM","A19","A19","F",24.46,21.81,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.891659852820932,18913
"RM","A19","A19","F",25.58,18.65,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.729085222830336,18913
"RM","A19","A19","M",19.66,13.61,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.692268565615463,18913
"RM","A19","A19","M",20.1,13.8,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.686567164179104,18913
"RM","A19","A19","F",24.9,21.3,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.855421686746988,18913
"RM","A19","A19","F",25.72,21.76,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.846034214618974,18913
"RM","A19","A19","F",26.46,18.68,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.705971277399849,18913
"RM","A19","A19","M",19.82,16.35,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.824924318869829,18913
"RM","A19","A19","M",20.86,15.1,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.723873441994247,18913
"RM","A19","A19","F",23.03,19.43,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.843682153712549,18913
"RM","A19","A19","M",23.41,15.91,55.962329,47.291201,23.446437,16.91975,40.797501,-74.473811,13,10,50,99.3805,0.679624092268261,18913
