Date(DD/MM/YYYY),ID,Length-Nosetoabdomen(mm),Length-NosetoWingtip(mm),AbdomenLength(mm),Weight(g),Sex(M/F),CTmax(s) ,Temperature(C),Notes,Avg CTmax time,183.3384615
22/07/2024,22.H1,14.6,22.5,3.6,0.158,M,210,49.0,,Largest mass:,0.362
22/07/2024,22.H2,14.2,25.2,4.7,0.161,F,198,49.0,,Smallest mass:,0.084
23/07/2024,23.H3,16.5,26.8,5.3,0.340,F,188,49.8,-possible that weights are inaccurate,Average mass:,0.1652359551
23/07/2024,23.H4,15.7,26.1,5.5,0.280,F,253,49.6,-possible that weights are inaccurate,,
23/07/2024,23.H5,13.4,21.8,4.6,0.215,M,182,49.9,-possible that weights are inaccurate,Largest Abdomen Length: ,8.6
23/07/2024,23.H6,14.8,25.8,4.8,0.170,F,176,49.7,-possible that weights are inaccurate,Smallest Abdomen Length: ,2.3
23/07/2024,23.H7,16.8,26.1,4.5,0.176,F,175,48.7,,Average Abdomen Length: ,4.254263566
23/07/2024,23.H8,18.2,24.9,7.3,0.292,F,202,48.9,,,
23/07/2024,23.H9,18.2,25.0,8.6,0.232,F,170,49.1,,Largest Nose-Abdomen Length: ,19.4
23/07/2024,23.H10,14.3,21.5,4.7,0.123,M,137,49.2,,Smallest Nose-Abdomen Length: ,11.5
23/07/2024,23.H11,15.2,25.9,5.9,0.247,F,150,49.2,May have been under-done (time is too low),Average Nose-Abdomen Length: ,14.57461538
23/07/2024,23.H12,14.9,24.5,4.4,0.159,F,148,49.3,,,
23/07/2024,23.H13,14.2,21.5,4.7,0.212,F,204,49.3,,Largest Nose-Wingtip Length: ,28.3
23/07/2024,23.H14,12.9,21.2,4.1,0.108,M,151,49.4,,Smallest Nose-Wingtip Length: ,11.5
23/07/2024,23.H15,15.8,26.7,4.5,0.178,F,185,49.7,,Average Nose-Wingtip Length: ,19.13846154
23/07/2024,23.H16,13.0,19.7,4.2,0.084,M,105,49.6,,,
23/07/2024,23.H17,14.5,21.7,4.2,0.149,M,153,49.6,,,
23/07/2024,23.H18,17.2,27.3,6.3,0.211,F,140,49.6,,,
23/07/2024,23.H19,13.0,21.5,4.4,0.109,M,187,49.5,,,
23/07/2024,23.H20,16.8,26.4,5.0,0.192,F,167,49.7,,,
23/07/2024,23.H21,15.5,24.4,5.2,0.139,F,141,49.6,,,
23/07/2024,23.H22,13.2,21.6,4.7,0.133,M,218,49.8,,,
23/07/2024,23.H23,12.7,20.2,4.9,0.085,M,170,49.6,,,
23/07/2024,23.H24,13.2,20.6,3.9,0.109,M,195,49.7,,,
23/07/2024,23.H25,12.6,21.3,4.0,0.102,M,186,49.7,,,
23/07/2024,23.H26,12.5,19.9,3.9,0.117,M,180,49.8,,,
23/07/2024,23.H27,15.5,27.0,3.3,0.209,F,139,49.6,,,
23/07/2024,23.H28,14.9,26.0,4.3,0.199,F,174,49.6,,,
23/07/2024,23.H29,12.7,22.2,3.9,0.121,M,160,49.7,,,
23/07/2024,23.H30,13.7,24.8,4.0,0.138,F,191,49.6,,,
24/07/2024,24.H31,15.3,24.9,4.6,0.162,F,150,49.4,,,
24/07/2024,24.H32,16.2,25.9,4.7,0.215,F,155,49.2,,,
24/07/2024,24.H33,17.1,25.8,5.1,0.329,F,169,49.3,,,
24/07/2024,24.H34,15.8,24.8,5.0,0.224,F,159,49.4,,,
24/07/2024,24.H35,14.5,23.6,4.6,0.131,M,157,49.5,,,
24/07/2024,24.H36,17.1,26.9,5.4,0.282,F,185,49.7,,,
24/07/2024,24.H37,16.4,26.2,4.8,0.173,F,121,49.5,,,
24/07/2024,24.H38,15.8,26.2,4.8,0.150,F,132,49.9,,,
24/07/2024,24.H39,16.0,27.4,4.6,0.232,F,222,49.8,,,
24/07/2024,24.H40,13.7,20.8,4.2,0.152,M,123,49.2,,,
24/07/2024,24.H41,15.0,21.2,4.8,0.212,M,159,49.7,,,
24/07/2024,24.H42,13.3,19.5,3.5,0.085,M,156,49.8,,,
24/07/2024,24.H43,14.3,21.3,4.5,0.118,M,129,49.6,,,
24/07/2024,24.H44,13.5,20.2,4.0,0.090,M,120,49.5,,,
24/07/2024,24.H45,14.2,21.6,4.7,0.166,M,156,50.0,,,
24/07/2024,24.H46,14.7,22.6,4.7,0.128,M,139,49.9,,,
24/07/2024,24.H47,16.3,27.2,5.3,0.189,F,186,49.7,,,
24/07/2024,24.H48,15.0,25.9,6.0,0.268,F,189,49.9,,,
